Event	DateTime	Latitude	Longitude	Sample label	Depthsed	Depthcomp	Depthcompr	Depthcorrcr	HybridAge	AgeLisiec	AgeAhn	AgeKonijn	d18O	d13C
339-U1385D		37.5713	-10.1259	339-U1385D-1H-2,120-121	2.720	2.720	2.720	2.720	18.06	16.09	17.12	16.41	2.44	-0.60
339-U1385D		37.5713	-10.1259	339-U1385D-1H-2,140-141	2.920	2.920	2.920	2.852	18.53	16.91	18.14	17.09	2.71	-0.53
339-U1385D		37.5713	-10.1259	339-U1385D-1H-3,0-1	3.030	3.030	3.030	2.887	18.65	17.12	18.41	17.27	2.69	-0.69
339-U1385D		37.5713	-10.1259	339-U1385D-1H-3,20-21	3.230	3.230	3.230	3.081	19.35	18.33	19.92	18.26	2.43	-0.76
339-U1385D		37.5713	-10.1259	339-U1385D-1H-3,40-41	3.430	3.430	3.430	3.307	20.17	19.73	21.37	19.42	1.95	-1.30
339-U1385D		37.5713	-10.1259	339-U1385D-1H-3,60-61	3.630	3.630	3.630	3.533	20.98	20.65	22.33	20.59	2.15	-1.22
339-U1385D		37.5713	-10.1259	339-U1385D-1H-3,80-81	3.830	3.830	3.830	3.759	21.80	21.57	23.29	21.75	2.09	-1.46
339-U1385D		37.5713	-10.1259	339-U1385D-1H-3,100-101	4.030	4.030	4.030	3.984	22.61	22.48	24.25	22.90	2.01	-1.16
339-U1385E		37.5713	-10.1262	339-U1385E-2H-1,120-121	2.210	4.180	4.180	4.136	23.16	23.09	24.90	23.68	0.99	-0.62
339-U1385E		37.5713	-10.1262	339-U1385E-2H-1,140-141	2.410	4.380	4.380	4.379	24.06	24.08	25.93	24.92	2.13	-0.80
339-U1385E		37.5713	-10.1262	339-U1385E-2H-2,0-1	2.520	4.490	4.490	4.512	24.64	24.61	26.50	25.54	1.89	-0.82
339-U1385E		37.5713	-10.1262	339-U1385E-2H-2,20-21	2.720	4.690	4.690	4.755	25.70	25.60	27.53	26.69	2.18	-0.89
339-U1385E		37.5713	-10.1262	339-U1385E-2H-2,40-41	2.920	4.890	4.890	4.998	26.76	26.58	28.56	27.84	2.14	-0.91
339-U1385E		37.5713	-10.1262	339-U1385E-2H-2,60-61	3.120	5.090	5.090	5.241	27.82	27.56	29.60	28.99	1.90	-0.81
339-U1385E		37.5713	-10.1262	339-U1385E-2H-2,80-81	3.320	5.290	5.290	5.427	28.64	28.32	30.39	29.87	2.50	-0.49
339-U1385E		37.5713	-10.1262	339-U1385E-2H-2,100-101	3.520	5.490	5.490	5.598	29.44	29.01	31.11	30.68	1.87	-0.90
339-U1385E		37.5713	-10.1262	339-U1385E-2H-2,120-121	3.720	5.690	5.690	5.769	30.29	29.70	31.84	31.49	2.73	-0.57
339-U1385E		37.5713	-10.1262	339-U1385E-2H-2,140-141	3.920	5.890	5.890	5.939	31.11	30.39	32.57	32.30	2.48	-0.34
339-U1385E		37.5713	-10.1262	339-U1385E-2H-3,0-1	4.030	6.000	6.000	6.033	31.56	30.77	32.97	32.74	1.74	-1.06
339-U1385E		37.5713	-10.1262	339-U1385E-2H-3,20-21	4.230	6.200	6.200	6.204	32.37	31.46	33.69	33.55	1.79	-0.77
339-U1385E		37.5713	-10.1262	339-U1385E-2H-3,60-61	4.630	6.600	6.600	6.565	33.68	32.92	35.23	35.26	1.67	-0.71
339-U1385E		37.5713	-10.1262	339-U1385E-2H-3,80-81	4.830	6.800	6.800	6.746	34.25	33.66	36.00	36.12	2.42	-0.63
339-U1385E		37.5713	-10.1262	339-U1385E-2H-3,100-101	5.030	7.000	7.000	6.927	34.79	34.39	36.77	36.97	1.98	-0.91
339-U1385E		37.5713	-10.1262	339-U1385E-2H-3,120-121	5.230	7.200	7.200	7.109	35.34	35.12	37.54	37.83	1.56	-0.82
339-U1385E		37.5713	-10.1262	339-U1385E-2H-3,140-141	5.430	7.400	7.400	7.290	35.93	35.86	38.31	38.69	2.33	-0.58
339-U1385E		37.5713	-10.1262	339-U1385E-2H-4,0-1	5.540	7.510	7.510	7.389	36.29	36.26	38.73	39.16	2.39	-0.68
339-U1385E		37.5713	-10.1262	339-U1385E-2H-4,20-21	5.740	7.710	7.710	7.580	36.96	37.03	39.54	40.06	1.74	-0.96
339-U1385E		37.5713	-10.1262	339-U1385E-2H-4,40-41	5.940	7.910	7.910	7.780	37.67	37.84	40.40	41.01	1.74	-0.24
339-U1385E		37.5713	-10.1262	339-U1385E-2H-4,60-61	6.140	8.110	8.110	7.980	38.38	38.65	41.25	41.95	1.35	-1.08
339-U1385E		37.5713	-10.1262	339-U1385E-2H-4,80-81	6.340	8.310	8.310	8.180	39.13	39.46	42.10	42.90	2.53	-0.49
339-U1385E		37.5713	-10.1262	339-U1385E-2H-4,100-101	6.540	8.510	8.510	8.383	39.88	40.28	42.96	43.86	2.31	-0.78
339-U1385E		37.5713	-10.1262	339-U1385E-2H-4,120-121	6.740	8.710	8.710	8.608	40.72	41.19	43.92	44.93	1.70	-0.83
339-U1385E		37.5713	-10.1262	339-U1385E-2H-4,140-141	6.940	8.910	8.910	8.834	41.55	42.10	44.88	46.00	1.37	-0.91
339-U1385E		37.5713	-10.1262	339-U1385E-2H-5,0-1	7.050	9.020	9.020	8.958	41.90	42.61	45.41	46.58	1.89	-0.89
339-U1385E		37.5713	-10.1262	339-U1385E-2H-5,20-21	7.250	9.220	9.220	9.184	42.68	43.52	46.37	47.65	2.19	-1.05
