Age (Ma)	Global mean SST (oC) hi-res area weighted	SST +1stdev	SST -1stdev	Global mean SST (oC) lo-res weighted	lo-res SST +1stdev	lo-res SST -1stdev	Global mean surface temp (GMST) (oC) area weighted	GMST +1stdev	GMST -1stdev
4.209	2.77	3.74	1.79	2.82	3.30	2.33	3.87	5.37	2.36
4.21	2.83	3.81	1.86	2.80	3.29	2.31	3.94	5.44	2.44
4.211	2.77	3.75	1.79	2.79	3.27	2.30	3.87	5.38	2.36
4.212	2.77	3.75	1.80	2.78	3.26	2.30	3.88	5.38	2.37
4.213	2.78	3.75	1.81	2.78	3.26	2.30	3.89	5.38	2.40
4.214	2.97	3.90	2.03	2.77	3.25	2.30	4.14	5.59	2.70
4.215	2.92	3.85	1.98	2.77	3.25	2.30	4.08	5.52	2.64
4.216	2.91	3.84	1.97	2.77	3.25	2.30	4.08	5.52	2.63
4.217	2.91	3.85	1.97	2.78	3.26	2.30	4.09	5.55	2.64
4.218	2.83	3.81	1.85	2.79	3.26	2.31	3.99	5.51	2.48
4.219	2.85	3.83	1.86	2.79	3.27	2.32	4.02	5.54	2.50
4.22	2.86	3.85	1.87	2.80	3.28	2.32	4.04	5.57	2.52
4.221	2.89	3.87	1.91	2.81	3.29	2.33	4.08	5.60	2.56
4.222	2.90	3.83	1.98	2.82	3.30	2.34	4.09	5.52	2.66
4.223	3.08	4.11	2.05	2.84	3.32	2.36	4.32	5.91	2.74
4.224	3.10	4.12	2.07	2.84	3.32	2.37	4.34	5.92	2.76
4.225	3.11	4.13	2.09	2.85	3.33	2.37	4.35	5.93	2.78
4.226	3.04	3.98	2.10	2.84	3.32	2.37	4.32	5.77	2.86
4.227	3.04	3.98	2.09	2.84	3.32	2.36	4.31	5.77	2.85
4.228	3.04	3.99	2.09	2.84	3.32	2.36	4.30	5.77	2.84
4.229	3.21	4.11	2.31	2.90	3.36	2.43	4.51	5.91	3.12
4.23	3.15	4.00	2.31	2.89	3.36	2.42	4.47	5.79	3.15
4.231	3.19	4.08	2.30	2.88	3.35	2.42	4.48	5.86	3.09
4.232	3.18	4.07	2.29	2.88	3.35	2.41	4.46	5.84	3.08
4.233	3.18	4.07	2.29	2.88	3.34	2.41	4.46	5.84	3.08
4.234	3.18	4.08	2.29	2.87	3.34	2.40	4.46	5.85	3.07
4.235	3.02	3.87	2.16	2.83	3.33	2.33	4.25	5.58	2.91
4.236	2.99	3.88	2.11	2.84	3.33	2.34	4.22	5.59	2.84
4.237	3.16	4.01	2.30	2.85	3.34	2.35	4.42	5.75	3.08
4.238	3.10	3.97	2.23	2.87	3.37	2.38	4.34	5.70	2.99
4.239	3.14	4.00	2.27	2.88	3.38	2.39	4.39	5.74	3.04
4.24	3.18	4.04	2.31	2.90	3.39	2.40	4.43	5.78	3.09
4.241	3.20	4.15	2.26	2.91	3.40	2.41	4.41	5.87	2.95
4.242	3.19	4.14	2.24	2.91	3.41	2.41	4.41	5.88	2.94
4.243	3.23	4.12	2.34	2.90	3.40	2.41	4.46	5.84	3.08
4.244	3.13	4.10	2.16	2.90	3.39	2.40	4.34	5.84	2.85
4.245	2.98	3.85	2.11	2.89	3.39	2.40	4.18	5.53	2.83
4.246	3.08	4.06	2.09	2.89	3.38	2.40	4.30	5.81	2.78
4.247	3.05	4.05	2.06	2.89	3.38	2.39	4.27	5.80	2.75
4.248	3.03	4.03	2.03	2.88	3.37	2.39	4.25	5.79	2.71
4.249	3.00	4.01	2.00	2.88	3.37	2.39	4.22	5.77	2.68
4.25	3.01	3.92	2.10	2.87	3.36	2.38	4.26	5.67	2.85
4.251	2.94	3.96	1.92	2.87	3.36	2.38	4.17	5.74	2.61
4.252	2.92	3.94	1.89	2.86	3.35	2.38	4.16	5.74	2.58
4.253	2.89	3.92	1.85	2.86	3.35	2.37	4.14	5.73	2.55
4.254	2.74	3.62	1.85	2.86	3.35	2.37	3.96	5.33	2.58
4.255	2.86	3.93	1.78	2.89	3.37	2.40	4.12	5.77	2.47
4.256	3.01	4.07	1.95	2.91	3.40	2.43	4.31	5.94	2.68
4.257	3.22	4.16	2.27	2.95	3.43	2.47	4.56	6.03	3.10
4.258	3.02	4.09	1.96	2.93	3.41	2.44	4.31	5.94	2.68
4.259	3.00	4.07	1.94	2.93	3.41	2.44	4.27	5.91	2.63
4.26	2.91	3.90	1.92	2.93	3.41	2.44	4.20	5.72	2.67
4.261	2.97	4.05	1.88	2.93	3.41	2.44	4.20	5.87	2.53
4.262	2.94	4.03	1.84	2.93	3.41	2.44	4.15	5.83	2.47
4.263	3.02	4.10	1.95	2.94	3.43	2.46	4.25	5.90	2.59
4.264	3.11	4.17	2.05	2.96	3.44	2.48	4.34	5.97	2.71
4.265	3.19	4.23	2.15	2.98	3.46	2.50	4.43	6.03	2.83
4.266	3.27	4.30	2.24	2.99	3.47	2.51	4.52	6.10	2.94
4.267	3.23	4.19	2.26	2.99	3.47	2.51	4.45	5.94	2.95
4.268	3.22	4.25	2.18	2.99	3.47	2.51	4.42	6.02	2.83
4.269	3.16	4.11	2.21	2.99	3.48	2.51	4.42	5.89	2.95
4.27	3.21	4.26	2.16	3.00	3.49	2.52	4.39	6.00	2.78
4.271	3.13	4.18	2.08	3.02	3.50	2.54	4.35	5.96	2.73
4.272	3.13	4.31	1.95	3.03	3.51	2.54	4.29	6.09	2.49
4.273	3.12	4.30	1.94	3.03	3.52	2.55	4.29	6.09	2.48
4.274	3.11	4.30	1.93	3.04	3.53	2.56	4.28	6.09	2.47
4.275	3.13	4.31	1.96	3.05	3.54	2.57	4.31	6.11	2.52
4.276	3.16	4.33	1.99	3.06	3.55	2.58	4.35	6.14	2.56
4.277	3.19	4.35	2.02	3.08	3.56	2.60	4.39	6.18	2.61
4.278	3.21	4.38	2.05	3.09	3.58	2.61	4.44	6.22	2.65
4.279	3.17	4.35	1.99	3.10	3.58	2.61	4.39	6.20	2.58
4.28	3.35	4.37	2.33	3.11	3.59	2.63	4.62	6.19	3.05
4.281	3.36	4.37	2.35	3.12	3.60	2.63	4.63	6.18	3.07
4.282	3.37	4.37	2.36	3.12	3.60	2.64	4.63	6.18	3.08
4.283	3.35	4.36	2.34	3.12	3.60	2.64	4.61	6.17	3.05
4.284	3.23	4.26	2.20	3.12	3.60	2.64	4.45	6.03	2.87
4.285	3.22	4.25	2.18	3.12	3.60	2.64	4.43	6.02	2.83
4.286	3.05	4.03	2.06	3.12	3.60	2.63	4.33	5.85	2.80
