Age	d18Osw	sigma
0.771	0.06	0.28
0.772	-0.02	0.28
0.773	0.01	0.31
0.774	0.04	0.36
0.775	0.04	0.30
0.776	0.04	0.27
0.777	0.11	0.32
0.778	0.21	0.41
0.779	0.05	0.35
0.78	-0.02	0.29
0.781	0.02	0.29
0.782	0.04	0.29
0.783	0.02	0.29
0.784	-0.02	0.29
0.785	-0.06	0.29
0.786	-0.09	0.29
0.787	-0.07	0.31
0.788	-0.04	0.33
0.789	0.06	0.37
0.79	0.17	0.41
0.791	0.17	0.36
0.792	0.21	0.31
0.793	0.28	0.38
0.794	0.33	0.47
0.795	0.38	0.38
0.796	0.45	0.32
0.797	0.49	0.31
0.798	0.59	0.31
0.799	0.48	0.30
0.8	0.43	0.29
0.801	0.32	0.29
0.802	0.31	0.29
0.803	0.28	0.28
0.804	0.26	0.28
0.805	0.19	0.30
0.806	0.15	0.32
0.807	0.17	0.30
0.808	0.19	0.28
0.809	0.12	0.30
0.81	0.12	0.32
0.811	0.24	0.33
0.812	0.29	0.35
0.813	0.07	0.41
0.814	-0.13	0.49
0.815	-0.04	0.41
0.816	0.06	0.35
0.817	0.01	0.32
0.818	-0.02	0.30
0.819	0.01	0.32
0.82	0.04	0.35
0.821	0.10	0.38
0.822	0.18	0.41
0.823	0.14	0.40
0.824	0.08	0.39
0.825	0.20	0.38
0.826	0.33	0.37
0.827	0.25	0.33
0.828	0.15	0.29
0.829	0.17	0.30
0.83	0.20	0.32
0.831	0.15	0.30
0.832	0.07	0.29
0.833	0.11	0.32
0.834	0.13	0.35
0.835	0.14	0.33
0.836	0.17	0.31
0.837	0.19	0.32
0.838	0.21	0.33
0.839	0.20	0.30
0.84	0.19	0.28
0.841	0.20	0.32
0.842	0.22	0.39
0.843	0.24	0.31
0.844	0.28	0.27
0.845	0.22	0.27
0.846	0.15	0.27
0.847	0.10	0.28
0.848	0.05	0.29
0.849	-0.05	0.28
0.85	-0.14	0.28
0.851	-0.08	0.29
0.852	0.07	0.30
0.853	0.18	0.36
0.854	0.27	0.43
0.855	0.24	0.36
0.856	0.17	0.29
0.857	0.10	0.28
0.858	0.00	0.27
0.859	-0.03	0.28
0.86	-0.06	0.30
0.861	-0.06	0.34
0.862	-0.08	0.40
0.863	-0.22	0.36
0.864	-0.36	0.33
0.865	-0.25	0.33
0.866	-0.09	0.33
0.867	0.12	0.34
0.868	0.40	0.33
0.869	0.35	0.36
0.87	0.33	0.39
0.871	0.47	0.33
0.872	0.61	0.29
0.873	0.59	0.30
0.874	0.55	0.32
0.875	0.57	0.32
0.876	0.56	0.32
0.877	0.45	0.40
0.878	0.34	0.49
0.879	0.41	0.37
0.88	0.51	0.28
0.881	0.35	0.33
0.882	0.29	0.39
0.883	0.29	0.36
0.884	0.30	0.33
0.885	0.30	0.32
0.886	0.32	0.31
0.887	0.34	0.30
0.888	0.28	0.30
0.889	0.31	0.30
0.89	0.30	0.30
0.891	0.28	0.34
0.892	0.21	0.40
0.893	0.31	0.32
0.894	0.42	0.27
0.895	0.42	0.27
0.896	0.40	0.27
0.897	0.30	0.28
0.898	0.21	0.30
0.899	0.23	0.30
0.9	0.24	0.30
0.901	0.25	0.29
0.902	0.25	0.28
0.903	0.27	0.28
0.904	0.26	0.28
0.905	0.25	0.28
0.906	0.25	0.28
0.907	0.20	0.29
0.908	0.15	0.30
0.909	0.18	0.30
0.91	0.20	0.30
0.911	0.22	0.29
0.912	0.19	0.28
0.913	0.17	0.30
0.914	0.19	0.32
0.915	0.12	0.38
0.916	0.04	0.44
0.917	0.20	0.38
0.918	0.41	0.32
0.919	0.44	0.31
0.92	0.48	0.30
0.921	0.39	0.29
0.922	0.31	0.29
0.923	0.30	0.28
0.924	0.30	0.27
0.925	0.26	0.27
0.926	0.21	0.28
0.927	0.18	0.29
0.928	0.18	0.30
0.929	0.06	0.31
0.93	-0.04	0.31
0.931	0.01	0.30
0.932	0.09	0.30
0.933	0.17	0.29
0.934	0.23	0.29
0.935	0.18	0.28
0.936	0.13	0.27
0.937	0.02	0.30
0.938	-0.07	0.32
0.939	0.02	0.28
0.94	0.07	0.26
0.941	0.01	0.28
0.942	-0.03	0.30
0.943	-0.03	0.29
0.944	-0.06	0.28
0.945	0.02	0.33
0.946	0.08	0.40
0.947	0.00	0.33
0.948	-0.11	0.28
0.949	-0.12	0.28
0.95	-0.12	0.27
0.951	-0.16	0.28
0.952	-0.20	0.28
0.953	-0.12	0.32
0.954	-0.06	0.37
0.955	-0.11	0.34
0.956	-0.17	0.31
0.957	-0.06	0.37
0.958	0.05	0.43
0.959	0.36	0.44
0.96	0.65	0.45
0.961	0.67	0.40
0.962	0.72	0.35
0.963	0.78	0.34
0.964	0.83	0.34
0.965	0.69	0.34
0.966	0.57	0.35
0.967	0.60	0.31
0.968	0.60	0.28
0.969	0.50	0.27
0.97	0.44	0.26
0.971	0.33	0.27
0.972	0.24	0.29
0.973	0.27	0.31
0.974	0.32	0.33
0.975	0.25	0.30
0.976	0.17	0.28
0.977	0.13	0.29
0.978	0.08	0.29
0.979	0.06	0.31
0.98	0.02	0.34
