Age	d18OT	sigma
4.655	2.82	0.12
4.656	2.83	0.13
4.657	2.83	0.13
4.658	2.85	0.12
4.659	2.85	0.13
4.660	2.86	0.13
4.661	2.90	0.12
4.662	2.87	0.14
4.663	2.88	0.15
4.664	2.89	0.15
4.665	2.89	0.15
4.666	2.89	0.15
4.667	2.89	0.15
4.668	2.88	0.14
4.669	2.87	0.14
4.670	2.85	0.12
4.671	2.86	0.13
4.672	2.86	0.13
4.673	2.85	0.12
4.674	2.81	0.13
4.675	2.85	0.12
4.676	2.86	0.12
4.677	2.84	0.14
4.678	2.86	0.12
4.679	2.86	0.12
4.680	2.86	0.12
4.681	2.86	0.12
4.682	2.86	0.12
4.683	2.87	0.12
4.684	2.86	0.11
4.685	2.84	0.11
4.686	2.83	0.11
4.687	2.82	0.11
4.688	2.80	0.11
4.689	2.81	0.11
4.690	2.78	0.12
4.691	2.83	0.11
4.692	2.84	0.11
4.693	2.85	0.11
4.694	2.86	0.11
4.695	2.87	0.11
4.696	2.88	0.12
4.697	2.89	0.12
4.698	2.93	0.10
4.699	2.89	0.12
4.700	2.89	0.11
4.701	2.89	0.11
4.702	2.87	0.10
4.703	2.87	0.11
4.704	2.87	0.10
4.705	2.87	0.11
4.706	2.87	0.12
4.707	2.87	0.12
4.708	2.86	0.12
4.709	2.86	0.12
4.710	2.86	0.12
4.711	2.86	0.12
4.712	2.84	0.12
4.713	2.86	0.11
4.714	2.86	0.11
4.715	2.86	0.11
4.716	2.90	0.12
4.717	2.90	0.12
4.718	2.90	0.12
4.719	2.89	0.12
4.720	2.87	0.11
4.721	2.87	0.11
4.722	2.87	0.11
4.723	2.85	0.11
4.724	2.84	0.11
4.725	2.84	0.11
4.726	2.84	0.11
4.727	2.83	0.11
4.728	2.84	0.10
4.729	2.83	0.11
4.730	2.82	0.10
4.731	2.82	0.11
4.732	2.82	0.11
4.733	2.83	0.12
4.734	2.84	0.11
4.735	2.82	0.11
4.736	2.85	0.11
4.737	2.86	0.11
4.738	2.86	0.11
4.739	2.81	0.11
4.740	2.85	0.10
4.741	2.86	0.11
4.742	2.84	0.11
4.743	2.85	0.11
4.744	2.85	0.11
4.745	2.84	0.11
4.746	2.83	0.11
4.747	2.82	0.10
4.748	2.82	0.10
4.749	2.83	0.10
4.750	2.85	0.11
4.751	2.87	0.10
4.752	2.87	0.11
4.753	2.88	0.10
4.754	2.88	0.10
4.755	2.89	0.10
4.756	2.90	0.11
4.757	2.85	0.12
4.758	2.93	0.11
4.759	2.92	0.12
4.760	2.92	0.12
4.761	2.91	0.12
4.762	2.89	0.11
4.763	2.88	0.11
4.764	2.87	0.11
4.765	2.87	0.11
4.766	2.86	0.11
4.767	2.86	0.10
4.768	2.84	0.12
4.769	2.85	0.12
4.770	2.85	0.11
4.771	2.86	0.11
4.772	2.86	0.11
4.773	2.87	0.10
4.774	2.87	0.12
4.775	2.88	0.13
4.776	2.88	0.13
4.777	2.91	0.12
4.778	2.91	0.11
4.779	2.92	0.12
4.780	2.89	0.13
4.781	2.92	0.11
4.782	2.92	0.12
4.783	2.92	0.12
4.784	2.91	0.12
4.785	2.91	0.12
4.786	2.90	0.12
4.787	2.90	0.12
4.788	2.90	0.12
4.789	2.90	0.12
4.790	2.89	0.12
4.791	2.90	0.13
4.792	2.90	0.12
4.793	2.90	0.13
4.794	2.90	0.13
4.795	2.89	0.13
4.796	2.89	0.12
4.797	2.90	0.13
4.798	2.91	0.11
4.799	2.90	0.12
4.800	2.98	0.13
4.801	2.93	0.13
4.802	2.93	0.12
4.803	2.94	0.13
4.804	2.90	0.14
4.805	2.85	0.14
4.806	2.90	0.13
4.807	2.90	0.13
4.808	2.90	0.13
4.809	2.84	0.14
4.810	2.85	0.14
4.811	2.85	0.14
4.812	2.85	0.14
4.813	2.85	0.14
4.814	2.85	0.14
4.815	2.84	0.15
4.816	2.86	0.14
4.817	2.85	0.14
4.818	2.87	0.15
4.819	2.88	0.14
4.820	2.89	0.13
4.821	2.88	0.13
4.822	2.88	0.13
4.823	2.88	0.12
4.824	2.87	0.11
4.825	2.88	0.12
4.826	2.88	0.12
4.827	2.89	0.13
4.828	2.89	0.13
4.829	2.89	0.13
4.830	2.90	0.13
4.831	2.88	0.14
4.832	2.89	0.12
4.833	2.88	0.12
4.834	2.88	0.11
4.835	2.87	0.13
4.836	2.87	0.12
4.837	2.87	0.12
4.838	2.86	0.12
4.839	2.85	0.12
4.840	2.85	0.12
4.841	2.85	0.15
4.842	2.85	0.15
4.843	2.86	0.16
4.844	2.86	0.17
4.845	2.87	0.17
4.846	2.87	0.18
4.847	2.88	0.18
4.848	2.88	0.19
4.849	2.88	0.18
4.850	2.88	0.18
4.851	2.84	0.21
4.852	2.88	0.18
4.853	2.89	0.18
4.854	2.89	0.18
4.855	2.89	0.18
4.856	2.89	0.18
4.857	2.88	0.16
4.858	2.88	0.17
4.859	2.88	0.17
4.860	2.88	0.16
4.861	2.87	0.15
4.862	2.87	0.14
4.863	2.86	0.14
4.864	2.83	0.15
4.865	2.86	0.14
4.866	2.87	0.14
4.867	2.85	0.16
4.868	2.85	0.17
4.869	2.85	0.17
4.870	2.89	0.13
4.871	2.87	0.15
4.872	2.86	0.15
4.873	2.86	0.15
4.874	2.85	0.15
4.875	2.85	0.15
4.876	2.85	0.15
4.877	2.85	0.15
4.878	2.84	0.15
4.879	2.84	0.13
4.880	2.84	0.14
4.881	2.83	0.13
4.882	2.82	0.14
4.883	2.82	0.14
4.884	2.86	0.12
4.885	2.81	0.14
4.886	2.81	0.14
4.887	2.81	0.14
4.888	2.82	0.15
4.889	2.83	0.15
4.890	2.84	0.15
4.891	2.85	0.16
4.892	2.86	0.17
4.893	2.88	0.17
4.894	2.89	0.16
4.895	2.88	0.16
4.896	2.88	0.16
4.897	2.89	0.15
4.898	2.89	0.15
4.899	2.89	0.15
4.900	2.89	0.13
4.901	2.89	0.15
4.902	2.89	0.14
4.903	2.88	0.14
4.904	2.87	0.14
4.905	2.87	0.14
4.906	2.87	0.14
4.907	2.87	0.14
4.908	2.88	0.14
4.909	2.88	0.15
4.910	2.88	0.15
4.911	2.88	0.16
4.912	2.89	0.17
4.913	2.89	0.16
4.914	2.89	0.19
4.915	2.89	0.19
4.916	2.88	0.19
4.917	2.87	0.19
4.918	2.90	0.17
4.919	2.87	0.19
4.920	2.87	0.16
4.921	2.85	0.18
4.922	2.85	0.17
4.923	2.84	0.17
4.924	2.85	0.16
4.925	2.83	0.16
4.926	2.83	0.15
4.927	2.83	0.15
4.928	2.88	0.14
4.929	2.84	0.16
4.930	2.84	0.17
4.931	2.84	0.16
4.932	2.84	0.16
4.933	2.84	0.16
4.934	2.86	0.15
4.935	2.82	0.16
4.936	2.83	0.16
4.937	2.83	0.16
4.938	2.83	0.16
4.939	2.84	0.16
4.940	2.85	0.16
4.941	2.84	0.17
4.942	2.85	0.17
4.943	2.85	0.17
4.944	2.85	0.17
4.945	2.89	0.15
4.946	2.85	0.17
4.947	2.85	0.17
4.948	2.85	0.17
4.949	2.85	0.17
4.950	2.85	0.17
4.951	2.82	0.16
4.952	2.84	0.17
4.953	2.84	0.16
4.954	2.83	0.16
4.955	2.83	0.15
4.956	2.82	0.14
4.957	2.82	0.13
4.958	2.80	0.14
4.959	2.80	0.14
4.960	2.81	0.13
4.961	2.79	0.14
4.962	2.81	0.14
4.963	2.81	0.15
4.964	2.81	0.14
4.965	2.81	0.15
4.966	2.81	0.16
4.967	2.81	0.16
4.968	2.82	0.17
4.969	2.82	0.15
4.970	2.80	0.16
4.971	2.84	0.13
4.972	2.80	0.15
4.973	2.79	0.15
4.974	2.79	0.14
4.975	2.79	0.14
4.976	2.79	0.14
4.977	2.79	0.13
4.978	2.82	0.12
4.979	2.80	0.13
4.980	2.79	0.12
4.981	2.80	0.13
4.982	2.80	0.13
4.983	2.80	0.13
4.984	2.80	0.14
4.985	2.80	0.14
4.986	2.80	0.15
4.987	2.80	0.15
4.988	2.80	0.16
4.989	2.80	0.17
4.990	2.80	0.14
4.991	2.77	0.18
4.992	2.76	0.18
4.993	2.75	0.16
4.994	2.75	0.16
4.995	2.75	0.17
4.996	2.75	0.17
4.997	2.73	0.15
4.998	2.75	0.17
4.999	2.75	0.18
5.000	2.75	0.16

