Age	d18OT	sigma
0.284	3.63	0.12
0.285	3.60	0.12
0.286	3.59	0.11
0.287	3.60	0.11
0.288	3.64	0.10
0.289	3.63	0.10
0.290	3.65	0.10
0.291	3.67	0.09
0.292	3.70	0.10
0.293	3.77	0.10
0.294	3.77	0.09
0.295	3.76	0.10
0.296	3.72	0.11
0.297	3.73	0.09
0.298	3.71	0.10
0.299	3.71	0.11
0.300	3.72	0.11
0.301	3.69	0.10
0.302	3.67	0.10
0.303	3.65	0.10
0.304	3.63	0.10
0.305	3.62	0.10
0.306	3.61	0.10
0.307	3.61	0.10
0.308	3.56	0.09
0.309	3.53	0.10
0.310	3.52	0.10
0.311	3.49	0.09
0.312	3.48	0.09
0.313	3.44	0.10
0.314	3.45	0.09
0.315	3.49	0.09
0.316	3.49	0.09
0.317	3.49	0.09
0.318	3.50	0.09
0.319	3.46	0.09
0.320	3.41	0.10
0.321	3.38	0.10
0.322	3.35	0.10
0.323	3.34	0.09
0.324	3.32	0.10
0.325	3.29	0.10
0.326	3.26	0.11
0.327	3.26	0.11
0.328	3.23	0.11
0.329	3.20	0.11
0.330	3.21	0.11
0.331	3.20	0.11
0.332	3.22	0.12
0.333	3.30	0.11
0.334	3.34	0.12
0.335	3.43	0.12
0.336	3.49	0.12
0.337	3.60	0.13
0.338	3.62	0.14
0.339	3.70	0.14
0.340	3.74	0.16
0.341	3.83	0.15
0.342	3.87	0.16
0.343	3.85	0.15
0.344	3.87	0.15
0.345	3.91	0.14
0.346	3.93	0.14
0.347	3.93	0.13
0.348	3.92	0.11
0.349	3.90	0.10
0.350	3.92	0.09
0.351	3.94	0.11
0.352	3.92	0.11
0.353	3.90	0.12
0.354	3.93	0.13
0.355	3.97	0.13
0.356	3.94	0.14
0.357	3.95	0.13
0.358	3.91	0.12
0.359	3.91	0.12
0.360	3.87	0.12
0.361	3.93	0.11
0.362	3.99	0.13
0.363	3.99	0.13
0.364	3.96	0.13
0.365	3.98	0.12
0.366	3.96	0.12
0.367	3.96	0.12
0.368	3.96	0.13
0.369	3.92	0.12
0.370	3.91	0.12
0.371	3.89	0.11
0.372	3.90	0.10
0.373	3.95	0.12
0.374	3.92	0.12
0.375	3.90	0.12
0.376	3.87	0.12
0.377	3.83	0.12
0.378	3.80	0.11
0.379	3.75	0.11
0.380	3.73	0.11
0.381	3.71	0.10
0.382	3.71	0.10
0.383	3.68	0.10
0.384	3.67	0.11
0.385	3.70	0.13
0.386	3.72	0.15
0.387	3.59	0.10
0.388	3.62	0.11
0.389	3.61	0.10
0.390	3.58	0.11
0.391	3.54	0.12
0.392	3.48	0.13
0.393	3.50	0.13
0.394	3.50	0.12
0.395	3.48	0.11
0.396	3.51	0.12
0.397	3.41	0.13
0.398	3.43	0.13
0.399	3.38	0.13
0.400	3.32	0.14
0.401	3.27	0.14
0.402	3.20	0.15
0.403	3.11	0.17
0.404	3.05	0.19
0.405	3.12	0.15
0.406	3.14	0.13
0.407	3.13	0.12
0.408	3.14	0.11
0.409	3.11	0.12
0.410	3.15	0.10
0.411	3.21	0.09
0.412	3.21	0.10
0.413	3.17	0.12
0.414	3.23	0.10
0.415	3.20	0.13
0.416	3.23	0.13
0.417	3.38	0.12
0.418	3.42	0.13
0.419	3.47	0.14
0.420	3.57	0.15
0.421	3.65	0.16
0.422	3.71	0.16
0.423	3.75	0.16
0.424	3.81	0.17
0.425	3.84	0.17
0.426	3.87	0.17
0.427	3.90	0.17
0.428	3.93	0.17
0.429	3.90	0.16
0.430	3.90	0.15
0.431	3.96	0.15
0.432	3.98	0.16
0.433	4.00	0.16
0.434	4.01	0.15
0.435	4.03	0.15
0.436	3.99	0.15
